2019-01-21 19:14:53.558699 - I Love You All
2019-01-21 19:14:54.492405 -  virtuous boy
2019-01-21 19:14:55.476433 -  procuro duo fiel
2019-01-21 19:14:56.706768 -  FLAnálista
2019-01-21 19:14:57.899758 -  lucifer not luci
2019-01-21 19:14:59.095595 - Compre na Havan
2019-01-21 19:15:00.245916 -  selfish nights
2019-01-21 19:15:01.271333 -  embrace sadness
2019-01-21 19:15:02.354293 -  FLA Robo
2019-01-21 19:15:03.485641 -  CNB Hy0g4
2019-01-21 19:15:04.558078 -  fã do jao piola
2019-01-21 19:15:05.658762 -  CNB Aslan
2019-01-21 19:15:06.746435 -  Guspfc
2019-01-21 19:15:07.769730 -  woodboy123123
2019-01-21 19:15:09.293775 -  KBM titan1
2019-01-21 19:15:10.448385 -  esA
2019-01-21 19:15:11.330234 -  Klaus
2019-01-21 19:15:11.988050 -  Mandioquinhaa
2019-01-21 19:15:13.357839 -  Ávenger
2019-01-21 19:15:14.490759 -  cmb
2019-01-21 19:15:15.301458 -  RIDERSONTHESTORM
2019-01-21 19:15:16.772961 -  Jack BIack
2019-01-21 19:15:17.942040 -  anyyyy
2019-01-21 19:15:19.250790 -  Damage
2019-01-21 19:15:20.563308 -  paiN Jovifome
2019-01-21 19:15:21.698155 -  tinowns2
2019-01-21 19:15:22.889530 -  Nbie
2019-01-21 19:15:25.363890 -  paiN KamiKat
2019-01-21 19:15:25.958650 -  cuckmyflinstons
2019-01-21 19:15:27.032861 -  RedBert
2019-01-21 19:15:28.328087 -  sushi birthdays
2019-01-21 19:15:29.488764 -  yourlaneisweak
2019-01-21 19:15:30.650729 -  THEWAVEOF7BELO
2019-01-21 19:15:31.848233 -  INTZ LynX
2019-01-21 19:15:33.048390 -  mina de amigo
2019-01-21 19:15:34.365727 -  Grevthar
2019-01-21 19:15:35.676475 -  improove
2019-01-21 19:15:36.362626 -  só todo no chão
2019-01-21 19:15:37.332778 -  GOGETA1
2019-01-21 19:15:38.498384 -  pimpimenta
2019-01-21 19:15:39.653222 -  LLKO
2019-01-21 19:15:40.265441 -  Asta OwO
2019-01-21 19:15:41.368529 -  Frumskcalbi
2019-01-21 19:15:42.602041 -  bota leozin ai
2019-01-21 19:15:43.683933 -  Tutszin
2019-01-21 19:15:44.981760 -  RNG Zz1tai1
2019-01-21 19:15:46.317599 -  RED XABULOVER
2019-01-21 19:15:47.849780 -  kadakao
2019-01-21 19:15:48.932111 -  icuL
2019-01-21 19:15:50.080498 -  Sílent Player
2019-01-21 19:15:50.714270 -  Drop
2019-01-21 19:15:52.547752 -  work harder
2019-01-21 19:15:53.777629 -  Little Wos
2019-01-21 19:15:54.923044 -  Caosss
2019-01-21 19:15:56.264761 -  keio
2019-01-21 19:15:58.145682 -  Lose to learn
2019-01-21 19:15:59.432080 -  phorlan
2019-01-21 19:16:00.669785 -  Kly0nSan
2019-01-21 19:16:01.884269 -  Yan mute all
2019-01-21 19:16:03.112292 -  DOVAHKINN
2019-01-21 19:16:04.229735 -  the felp effect
2019-01-21 19:16:05.425491 -  LeoTurtle
2019-01-21 19:16:06.844431 -  deft69420
2019-01-21 19:16:07.122422 -  Tarzan fanboi
2019-01-21 19:16:08.342783 -  dyNq Vigarista
2019-01-21 19:16:09.541774 -  Killuá is back
2019-01-21 19:16:11.002774 -  NiT Cesar
2019-01-21 19:16:12.301132 -  CIave de Sol
2019-01-21 19:16:13.472268 -  Great Eagle Bow
2019-01-21 19:16:14.679596 -  Kyle Gass
2019-01-21 19:16:15.894336 -  Kuqze
