"Ano de Ingresso","Joga Algo","Joga LoL",Nick,CR
2015,1,0,,60.6
2015,1,0,,53
2017,1,0,,43.8
2014,1,0,,42
2014,1,0,,68.4
2016,1,0,,72.3
2013,1,0,,50
2015,1,0,,70.2
2013,1,0,,43.1
2016,1,1,evh,45.8
2016,1,1,sudo rm name,82.2
2016,1,1,samdrix,67.9
2016,1,1,fesder,75.6
2016,1,1,00strouker00,
2016,1,1,fire of balerion,43.8
2015,1,1,zodiac spear,86.4
2015,1,1,thedarkdescent,68.7
2014,1,1,the t0m,57.9
2016,1,1,radswalker,64.5
2016,1,1,eike1v9,57.2
2014,0,0,,70.8
2015,0,0,,55.8
2016,0,0,,77
2016,0,0,,72.4
2016,0,0,,70.8
2016,0,0,,54.5
2017,1,0,,68
2015,0,0,,55.9
2013,1,0,,51.5
2015,1,0,,68.2
2013,0,0,,85
2015,0,0,,64
2015,0,0,,65.6
2015,0,0,,84.6
2016,1,0,,55.1
2017,1,0,,55
2018,1,1,BlakAiron,75
2018,1,1,CalangoG Brabo,69.5
2017,1,1,Lesslie,56
2018,1,1,Depressive Lux,33.8
2017,1,1,Malodex,48.7
2018,1,0,,51.3
2018,1,0,,39.15
2018,1,0,,46.6
2018,0,0,,33.3
2018,1,0,,75.8
